standalone_allocated_bytes	mtime_utc	path
1941004288	2026-07-11T12:41:43Z	/home/ubuntu/pz/VectorDB/data/VectorDB/runs/insert_cost_scale_substage/formal/sift_900k_cold_rep6/index
211034112	2026-07-11T12:40:58Z	/home/ubuntu/pz/VectorDB/data/VectorDB/runs/insert_cost_scale_substage/formal/sift_100k_cold_rep1/index
1322549248	2026-07-11T12:36:12Z	/home/ubuntu/pz/VectorDB/data/VectorDB/runs/insert_cost_scale_substage/formal/gist_100k_stable/index
1310429184	2026-07-11T12:42:38Z	/home/ubuntu/pz/VectorDB/data/VectorDB/runs/insert_cost_scale_substage/formal/gist_100k_cold_rep7/index
1941532672	2026-07-11T12:41:41Z	/home/ubuntu/pz/VectorDB/data/VectorDB/runs/insert_cost_scale_substage/formal/sift_900k_cold_rep2/index
211013632	2026-07-11T12:40:58Z	/home/ubuntu/pz/VectorDB/data/VectorDB/runs/insert_cost_scale_substage/formal/sift_100k_cold_rep3/index
1310666752	2026-07-11T12:42:36Z	/home/ubuntu/pz/VectorDB/data/VectorDB/runs/insert_cost_scale_substage/formal/gist_100k_cold_rep2/index
1310429184	2026-07-11T12:42:38Z	/home/ubuntu/pz/VectorDB/data/VectorDB/runs/insert_cost_scale_substage/formal/gist_100k_cold_rep9/index
11809460224	2026-07-11T12:45:49Z	/home/ubuntu/pz/VectorDB/data/VectorDB/runs/insert_cost_scale_substage/formal/gist_900k_cold_rep6/index
1310429184	2026-07-11T12:44:48Z	/home/ubuntu/pz/VectorDB/data/VectorDB/runs/insert_cost_scale_substage/formal/gist_100k_cold_rep10/index
210894848	2026-07-11T12:40:59Z	/home/ubuntu/pz/VectorDB/data/VectorDB/runs/insert_cost_scale_substage/formal/sift_100k_cold_rep9/index
1941004288	2026-07-11T12:41:44Z	/home/ubuntu/pz/VectorDB/data/VectorDB/runs/insert_cost_scale_substage/formal/sift_900k_cold_rep8/index
11809460224	2026-07-11T12:45:44Z	/home/ubuntu/pz/VectorDB/data/VectorDB/runs/insert_cost_scale_substage/formal/gist_900k_cold_rep4/index
1941495808	2026-07-11T12:41:41Z	/home/ubuntu/pz/VectorDB/data/VectorDB/runs/insert_cost_scale_substage/formal/sift_900k_cold_rep3/index
1310695424	2026-07-11T12:42:35Z	/home/ubuntu/pz/VectorDB/data/VectorDB/runs/insert_cost_scale_substage/formal/gist_100k_cold_rep0/index
1305825280	2026-07-11T12:42:37Z	/home/ubuntu/pz/VectorDB/data/VectorDB/runs/insert_cost_scale_substage/formal/gist_100k_cold_rep4/index
1941192704	2026-07-11T12:41:43Z	/home/ubuntu/pz/VectorDB/data/VectorDB/runs/insert_cost_scale_substage/formal/sift_900k_cold_rep5/index
210890752	2026-07-11T12:40:59Z	/home/ubuntu/pz/VectorDB/data/VectorDB/runs/insert_cost_scale_substage/formal/sift_100k_cold_rep8/index
1941004288	2026-07-11T12:41:45Z	/home/ubuntu/pz/VectorDB/data/VectorDB/runs/insert_cost_scale_substage/formal/sift_900k_cold_rep9/index
1941004288	2026-07-11T12:41:44Z	/home/ubuntu/pz/VectorDB/data/VectorDB/runs/insert_cost_scale_substage/formal/sift_900k_cold_rep7/index
1941544960	2026-07-11T12:41:42Z	/home/ubuntu/pz/VectorDB/data/VectorDB/runs/insert_cost_scale_substage/formal/sift_900k_cold_rep4/index
1941557248	2026-07-11T12:41:40Z	/home/ubuntu/pz/VectorDB/data/VectorDB/runs/insert_cost_scale_substage/formal/sift_900k_cold_rep1/index
11809460224	2026-07-11T12:45:38Z	/home/ubuntu/pz/VectorDB/data/VectorDB/runs/insert_cost_scale_substage/formal/gist_900k_cold_rep1/index
211034112	2026-07-11T12:40:58Z	/home/ubuntu/pz/VectorDB/data/VectorDB/runs/insert_cost_scale_substage/formal/sift_100k_cold_rep6/index
11809460224	2026-07-11T12:45:42Z	/home/ubuntu/pz/VectorDB/data/VectorDB/runs/insert_cost_scale_substage/formal/gist_900k_cold_rep3/index
11809460224	2026-07-11T12:45:40Z	/home/ubuntu/pz/VectorDB/data/VectorDB/runs/insert_cost_scale_substage/formal/gist_900k_cold_rep2/index
1310429184	2026-07-11T12:42:37Z	/home/ubuntu/pz/VectorDB/data/VectorDB/runs/insert_cost_scale_substage/formal/gist_100k_cold_rep5/index
11809697792	2026-07-11T12:45:51Z	/home/ubuntu/pz/VectorDB/data/VectorDB/runs/insert_cost_scale_substage/formal/gist_900k_cold_rep7/index
211013632	2026-07-11T12:40:58Z	/home/ubuntu/pz/VectorDB/data/VectorDB/runs/insert_cost_scale_substage/formal/sift_100k_cold_rep5/index
1310429184	2026-07-11T12:42:38Z	/home/ubuntu/pz/VectorDB/data/VectorDB/runs/insert_cost_scale_substage/formal/gist_100k_cold_rep8/index
11809460224	2026-07-11T12:45:36Z	/home/ubuntu/pz/VectorDB/data/VectorDB/runs/insert_cost_scale_substage/formal/gist_900k_cold_rep0/index
11809460224	2026-07-11T12:45:47Z	/home/ubuntu/pz/VectorDB/data/VectorDB/runs/insert_cost_scale_substage/formal/gist_900k_cold_rep5/index
211025920	2026-07-11T12:40:58Z	/home/ubuntu/pz/VectorDB/data/VectorDB/runs/insert_cost_scale_substage/formal/sift_100k_cold_rep2/index
211038208	2026-07-11T12:40:58Z	/home/ubuntu/pz/VectorDB/data/VectorDB/runs/insert_cost_scale_substage/formal/sift_100k_cold_rep0/index
1310670848	2026-07-11T12:42:36Z	/home/ubuntu/pz/VectorDB/data/VectorDB/runs/insert_cost_scale_substage/formal/gist_100k_cold_rep1/index
211025920	2026-07-11T12:40:59Z	/home/ubuntu/pz/VectorDB/data/VectorDB/runs/insert_cost_scale_substage/formal/sift_100k_cold_rep7/index
211025920	2026-07-11T12:40:58Z	/home/ubuntu/pz/VectorDB/data/VectorDB/runs/insert_cost_scale_substage/formal/sift_100k_cold_rep4/index
1310687232	2026-07-11T12:42:36Z	/home/ubuntu/pz/VectorDB/data/VectorDB/runs/insert_cost_scale_substage/formal/gist_100k_cold_rep3/index
11819065344	2026-07-11T12:37:19Z	/home/ubuntu/pz/VectorDB/data/VectorDB/runs/insert_cost_scale_substage/formal/gist_900k_stable/index
1941536768	2026-07-11T12:41:40Z	/home/ubuntu/pz/VectorDB/data/VectorDB/runs/insert_cost_scale_substage/formal/sift_900k_cold_rep0/index
11810025472	2026-07-11T12:45:53Z	/home/ubuntu/pz/VectorDB/data/VectorDB/runs/insert_cost_scale_substage/formal/gist_900k_cold_rep8/index
11810009088	2026-07-11T12:45:56Z	/home/ubuntu/pz/VectorDB/data/VectorDB/runs/insert_cost_scale_substage/formal/gist_900k_cold_rep9/index
217100288	2026-07-11T12:35:01Z	/home/ubuntu/pz/VectorDB/data/VectorDB/runs/insert_cost_scale_substage/formal/sift_100k_stable/index
1310429184	2026-07-11T12:42:37Z	/home/ubuntu/pz/VectorDB/data/VectorDB/runs/insert_cost_scale_substage/formal/gist_100k_cold_rep6/index
208031744	2026-07-11T10:49:52Z	/home/ubuntu/pz/VectorDB/data/VectorDB/recovered_system_disk_20260711/runs/insert_cost_closure/semantic_gate/orig/index
208031744	2026-07-11T10:49:52Z	/home/ubuntu/pz/VectorDB/data/VectorDB/recovered_system_disk_20260711/runs/insert_cost_closure/semantic_gate/gdb_fixed2/index
208031744	2026-07-11T10:49:52Z	/home/ubuntu/pz/VectorDB/data/VectorDB/recovered_system_disk_20260711/runs/insert_cost_closure/semantic_gate/gdb_fixed/index
208031744	2026-07-11T10:49:52Z	/home/ubuntu/pz/VectorDB/data/VectorDB/recovered_system_disk_20260711/runs/insert_cost_closure/semantic_gate/fixed/index
208031744	2026-07-11T10:49:52Z	/home/ubuntu/pz/VectorDB/data/VectorDB/recovered_system_disk_20260711/runs/insert_cost_closure/semantic_gate_v2/orig-profile/index
208306176	2026-07-11T10:49:52Z	/home/ubuntu/pz/VectorDB/data/VectorDB/recovered_system_disk_20260711/runs/insert_cost_closure/semantic_gate_v2/fixed-base/index
208306176	2026-07-11T10:49:52Z	/home/ubuntu/pz/VectorDB/data/VectorDB/recovered_system_disk_20260711/runs/insert_cost_closure/semantic_gate_v2/fixed-profile/index
208031744	2026-07-11T10:49:52Z	/home/ubuntu/pz/VectorDB/data/VectorDB/recovered_system_disk_20260711/runs/insert_cost_closure/semantic_gate_v2/orig-base/index
1310674944	2026-07-11T11:07:57Z	/home/ubuntu/pz/VectorDB/data/VectorDB/recovered_system_disk_20260711/runs/insert_cost_closure/real_pilot/gist-960-euclidean/R64_cold_rep36/index
1310412800	2026-07-11T11:07:57Z	/home/ubuntu/pz/VectorDB/data/VectorDB/recovered_system_disk_20260711/runs/insert_cost_closure/real_pilot/gist-960-euclidean/R64_cold_rep12/index
1310662656	2026-07-11T11:07:57Z	/home/ubuntu/pz/VectorDB/data/VectorDB/recovered_system_disk_20260711/runs/insert_cost_closure/real_pilot/gist-960-euclidean/R64_cold_rep41/index
1310420992	2026-07-11T11:07:57Z	/home/ubuntu/pz/VectorDB/data/VectorDB/recovered_system_disk_20260711/runs/insert_cost_closure/real_pilot/gist-960-euclidean/R64_cold_rep6/index
1310425088	2026-07-11T11:07:57Z	/home/ubuntu/pz/VectorDB/data/VectorDB/recovered_system_disk_20260711/runs/insert_cost_closure/real_pilot/gist-960-euclidean/R64_cold_rep23/index
1310662656	2026-07-11T11:07:57Z	/home/ubuntu/pz/VectorDB/data/VectorDB/recovered_system_disk_20260711/runs/insert_cost_closure/real_pilot/gist-960-euclidean/R64_cold_rep40/index
1310740480	2026-07-11T11:07:57Z	/home/ubuntu/pz/VectorDB/data/VectorDB/recovered_system_disk_20260711/runs/insert_cost_closure/real_pilot/gist-960-euclidean/R64_cold_rep31/index
1326247936	2026-07-11T11:07:57Z	/home/ubuntu/pz/VectorDB/data/VectorDB/recovered_system_disk_20260711/runs/insert_cost_closure/real_pilot/gist-960-euclidean/R64_pilot/index
1310674944	2026-07-11T11:07:57Z	/home/ubuntu/pz/VectorDB/data/VectorDB/recovered_system_disk_20260711/runs/insert_cost_closure/real_pilot/gist-960-euclidean/R64_cold_rep43/index
1310724096	2026-07-11T11:07:57Z	/home/ubuntu/pz/VectorDB/data/VectorDB/recovered_system_disk_20260711/runs/insert_cost_closure/real_pilot/gist-960-euclidean/R64_cold_rep39/index
1310416896	2026-07-11T11:07:57Z	/home/ubuntu/pz/VectorDB/data/VectorDB/recovered_system_disk_20260711/runs/insert_cost_closure/real_pilot/gist-960-euclidean/R64_cold_rep29/index
1310420992	2026-07-11T11:07:57Z	/home/ubuntu/pz/VectorDB/data/VectorDB/recovered_system_disk_20260711/runs/insert_cost_closure/real_pilot/gist-960-euclidean/R64_cold_rep1/index
1310416896	2026-07-11T11:07:57Z	/home/ubuntu/pz/VectorDB/data/VectorDB/recovered_system_disk_20260711/runs/insert_cost_closure/real_pilot/gist-960-euclidean/R64_cold_rep3/index
