query_id,expanded_reads,unique_sectors,baseline_sector_rereads,bonus_exposures,unique_bonus_nodes,bonus_in_gt100,bonus_visited_later,bonus_in_final_topk,bonus_gt100_fraction,bonus_later_fraction,bonus_final_fraction,estimated_avoidable_reads,estimated_io_savings_fraction
329,106,106,0,424,424,0,0,0,0.0,0.0,0.0,0,0.0
330,105,105,0,420,420,0,0,0,0.0,0.0,0.0,0,0.0
331,107,107,0,428,428,0,0,0,0.0,0.0,0.0,0,0.0
332,108,108,0,432,432,0,0,0,0.0,0.0,0.0,0,0.0
333,106,106,0,424,424,0,0,0,0.0,0.0,0.0,0,0.0
334,105,105,0,420,420,0,0,0,0.0,0.0,0.0,0,0.0
335,107,107,0,428,428,0,0,0,0.0,0.0,0.0,0,0.0
336,105,104,1,419,416,1,1,0,0.002403846153846154,0.002403846153846154,0.0,1,0.009523809523809525
337,106,106,0,424,424,0,0,0,0.0,0.0,0.0,0,0.0
338,106,105,1,423,420,1,1,0,0.002380952380952381,0.002380952380952381,0.0,1,0.009433962264150943
339,106,105,1,423,420,1,1,0,0.002380952380952381,0.002380952380952381,0.0,1,0.009433962264150943
340,106,106,0,424,424,0,0,0,0.0,0.0,0.0,0,0.0
341,107,107,0,428,428,0,0,0,0.0,0.0,0.0,0,0.0
342,106,106,0,424,424,0,0,0,0.0,0.0,0.0,0,0.0
343,107,107,0,428,428,0,0,0,0.0,0.0,0.0,0,0.0
344,106,106,0,424,424,0,0,0,0.0,0.0,0.0,0,0.0
345,107,106,1,427,424,1,1,0,0.0023584905660377358,0.0023584905660377358,0.0,1,0.009345794392523364
346,103,103,0,412,412,0,0,0,0.0,0.0,0.0,0,0.0
347,105,105,0,420,420,0,0,0,0.0,0.0,0.0,0,0.0
348,107,107,0,428,428,0,0,0,0.0,0.0,0.0,0,0.0
349,107,107,0,428,428,0,0,0,0.0,0.0,0.0,0,0.0
350,105,105,0,420,420,0,0,0,0.0,0.0,0.0,0,0.0
351,108,108,0,432,432,0,0,0,0.0,0.0,0.0,0,0.0
352,107,107,0,428,428,0,0,0,0.0,0.0,0.0,0,0.0
353,107,107,0,428,428,0,0,0,0.0,0.0,0.0,0,0.0
354,108,108,0,432,432,0,0,0,0.0,0.0,0.0,0,0.0
355,110,110,0,440,440,0,0,0,0.0,0.0,0.0,0,0.0
356,105,105,0,420,420,0,0,0,0.0,0.0,0.0,0,0.0
357,105,105,0,420,420,0,0,0,0.0,0.0,0.0,0,0.0
358,105,105,0,420,420,0,0,0,0.0,0.0,0.0,0,0.0
359,103,103,0,412,412,0,0,0,0.0,0.0,0.0,0,0.0
360,106,106,0,424,424,0,0,0,0.0,0.0,0.0,0,0.0
361,105,105,0,420,420,0,0,0,0.0,0.0,0.0,0,0.0
362,105,105,0,420,420,0,0,0,0.0,0.0,0.0,0,0.0
363,107,107,0,428,428,0,0,0,0.0,0.0,0.0,0,0.0
364,107,107,0,428,428,0,0,0,0.0,0.0,0.0,0,0.0
365,105,105,0,420,420,0,0,0,0.0,0.0,0.0,0,0.0
366,105,105,0,420,420,0,0,0,0.0,0.0,0.0,0,0.0
367,105,104,1,419,416,1,1,0,0.002403846153846154,0.002403846153846154,0.0,1,0.009523809523809525
368,107,107,0,428,428,0,0,0,0.0,0.0,0.0,0,0.0
369,107,107,0,428,428,0,0,0,0.0,0.0,0.0,0,0.0
370,106,106,0,424,424,0,0,0,0.0,0.0,0.0,0,0.0
371,106,106,0,424,424,0,0,0,0.0,0.0,0.0,0,0.0
372,103,103,0,412,412,0,0,0,0.0,0.0,0.0,0,0.0
373,109,108,1,435,432,1,1,0,0.0023148148148148147,0.0023148148148148147,0.0,1,0.009174311926605505
374,107,107,0,428,428,0,0,0,0.0,0.0,0.0,0,0.0
375,103,103,0,412,412,0,0,0,0.0,0.0,0.0,0,0.0
376,106,106,0,424,424,0,0,0,0.0,0.0,0.0,0,0.0
377,107,106,1,427,424,1,1,0,0.0023584905660377358,0.0023584905660377358,0.0,1,0.009345794392523364
